"northing","easting"
137629.605350085,629576.558314357
142690.701930765,630175.931537807
143185.155161005,627273.314209264
142708.62631911,624664.758742101
144192.453321349,635388.667009398
144503.21203677,633398.449316584
144177.777099367,628472.735276651
144322.97853265,626017.977656368
149640.494559072,637203.951905593
150321.358689684,628881.22900648
146701.906927489,625729.827355128
146484.453559276,623146.186129674
142308.439576346,614892.010704409
140220.06268777,626861.34661613
147110.504840314,628128.351950645
145724.094768502,625782.868374176
149571.621292494,632531.065137815
151076.623022351,626412.991923466
149611.459979322,627737.802138645
145551.089203637,629393.352395017
148368.903891202,624947.322896421
152758.395768467,623571.311233137
171135.360658485,627850.713348165
169033.157746717,632613.87633945
142075.886490196,628242.881368939
112594.531334955,562859.501690287
115540.064524394,564369.537968375
111017.469694838,574657.121279091
112773.752241358,562837.707425747
118731.726139169,572678.339182641
113389.548009653,566516.060777754
118544.487388991,564980.507623591
116061.348717567,562988.659560494
115668.455892969,571490.156327244
112202.620125376,562224.799639303
113053.527153842,564178.825069964
112718.477616739,566861.067307107
114586.09941395,568688.187714536
117314.289506618,569444.538017828
119159.584612828,576858.394296542
118756.492573377,570689.484347664
114526.000725981,571377.368698251
121249.293562006,568801.095966417
115823.673493005,576678.457512856
114319.691905752,573474.382686801
112980.083204899,572622.362962458
123343.973277863,569395.646636654
117132.969578441,579220.495620623
113241.37653131,573982.745863497
119107.425397076,571548.798283469
110980.326984171,575428.304958809
115687.402740605,573382.512078434
119340.07915467,576516.247912161
105108.111646846,580619.597847201
107763.117049355,567626.65821407
106175.411180779,568500.976095889
110847.422388345,577430.837172009
113182.243771199,570302.448105887
107461.480632611,575562.512859982
106859.514262974,566668.643996064
112853.722352218,578019.196016248
109222.670033481,572661.128624715
114790.369901285,570977.383139506
115520.83618572,577491.009873394
110305.123972241,568870.473384019
112092.560030799,571760.14937954
106507.317084223,568584.769992679
107451.089420151,561237.568448763
105540.06583998,570901.571273524
121876.171104256,565930.614878222
112897.364388537,567410.149824806
121600.261575766,565277.21213216
125087.886505388,568389.44731662
124049.212134499,564913.099575527
119062.988093682,570520.879537798
119226.124062259,566142.880028524
123863.421108793,565867.641940009
112878.921752702,576465.542085841
112743.5215188,570380.693216808
110824.472839143,571735.485339258
116645.915477723,570140.256290231
118313.946733996,571677.012839261
113936.115229968,575060.913019814
111985.437218752,578274.386225734
109401.225893199,576334.487797134
110448.843771737,576080.142988056
114513.911996782,577972.564009577
108873.531207722,580637.86844369
113241.501192842,573162.744046096
109879.507947713,579355.946564581
123172.876835428,562097.577644326
122340.291908942,568225.02729632
115915.628504474,566235.449293442
122259.647065308,569217.35242309
115876.513439599,568384.71773668
118441.525513817,567176.495870296
121796.135987248,569530.225525498
120522.008857496,567196.185218137
120995.732167941,570309.168931581
121197.030127421,566054.108712181
119775.114384107,583754.525220674
126760.508822612,575844.08144135
124335.918922685,581522.885471098
123229.777985718,583053.128435835
126919.316697232,577115.469617229
125166.619648822,576441.986174565
125883.943092264,582155.22723157
125863.509293273,578200.717427395
122902.890145313,578500.696300063
125088.291121442,578217.007643636
121767.554335125,579634.89958578
119603.33520649,578863.172588032
123011.616498791,582075.871619303
111159.907759037,572811.69354545
107375.808720738,565063.210349325
112264.956842288,566440.283852946
106519.70294809,564947.528894544
106512.235255968,565608.849178459
111613.552468531,563759.132031482
113583.878511079,571847.533037569
105346.240583211,572425.367065482
128494.931974858,572498.61339597
117389.79810169,573258.682243433
125331.312913541,572530.537306052
117587.827776182,573361.833013959
119090.655657556,576901.792788599
118637.213359587,572298.007335234
115152.565630618,570718.989430182
